Data,Histórico,Fech.,Var.Dia (%),Abertura,Mínimo,Medio,Máximo,Volume,Negócios
21/06/2018,70.075,70.075,-2.84,72117.36,70.019,70.935,72.207,8.574.961.078,1.263.030
20/06/2018,72.123,72.123,1.02,71396.77,71.155,71.846,72.617,11.172.777.404,1.298.952
19/06/2018,71.394,71.394,2.26,69811.36,69.069,71.038,72.010,13.052.807.717,1.556.350
18/06/2018,69.815,69.815,-1.33,70757.06,69.360,69.883,70.757,14.315.881.116,1.232.614
15/06/2018,70.757,70.757,-0.93,71420.52,69.583,70.327,71.421,12.108.393.771,1.672.798
14/06/2018,71.421,71.421,-0.97,72151.33,71.344,71.946,72.708,11.222.156.470,1.400.572
13/06/2018,72.122,72.122,-0.87,72756.83,71.035,72.064,72.977,33.772.109.053,1.476.637
12/06/2018,72.754,72.754,0.62,72308.33,72.124,72.691,73.322,9.744.137.479,1.351.732
11/06/2018,72.308,72.308,-0.87,72942.52,71.843,72.644,73.716,9.707.213.968,1.354.802
08/06/2018,72.942,72.942,-1.23,73847.88,71.679,72.868,74.031,15.001.330.138,1.934.851
07/06/2018,73.851,73.851,-2.98,76117.22,71.162,73.460,76.117,20.490.427.445,2.428.069
06/06/2018,76.117,76.117,-0.68,76641.03,75.518,76.105,76.967,13.053.497.411,1.506.342
05/06/2018,76.642,76.642,-2.49,78595.23,76.412,77.659,78.892,12.140.796.506,1.433.307
04/06/2018,78.596,78.596,1.76,77243.91,77.244,78.313,78.637,16.595.353.890,1.272.755
01/06/2018,77.240,77.240,0.63,76779.38,75.524,77.031,78.169,14.861.071.573,1.719.049
30/05/2018,76.754,76.754,0.90,76057.54,75.515,76.493,77.097,21.512.773.040,1.866.560
29/05/2018,76.072,76.072,0.95,75361.05,75.361,76.402,77.214,15.845.094.655,2.042.559
28/05/2018,75.356,75.356,-4.49,78886.48,75.337,76.319,78.886,11.001.070.989,1.439.591
25/05/2018,78.898,78.898,-1.53,80123.45,78.622,79.439,80.629,12.288.720.173,1.421.778
24/05/2018,80.122,80.122,-0.92,80859.80,79.027,79.699,80.860,16.574.425.657,1.676.536
23/05/2018,80.867,80.867,-2.26,82741.54,80.867,81.413,82.742,11.278.921.390,1.301.793
22/05/2018,82.739,82.739,1.13,81817.42,81.613,82.442,83.396,14.125.302.301,1.550.223
21/05/2018,81.815,81.815,-1.52,83095.39,81.576,82.526,83.883,20.894.264.792,1.377.422
18/05/2018,83.082,83.082,-0.65,83613.64,81.391,82.399,83.614,17.804.446.988,1.859.928
17/05/2018,83.622,83.622,-3.37,86536.52,83.377,84.690,86.537,17.325.973.508,1.780.658
16/05/2018,86.537,86.537,1.65,85121.64,85.044,86.337,86.678,12.225.725.831,1.298.016
15/05/2018,85.130,85.130,-0.12,85224.78,83.830,84.764,85.231,14.003.819.607,1.687.183
14/05/2018,85.232,85.232,0.01,85221.90,84.688,85.437,86.105,12.274.015.310,1.514.727
